RXNID;GENE ASSOCIATION;;;;;
HMR_3905;ENSG00000147576|ENSG00000172955|ENSG00000180011|ENSG00000187758|ENSG00000196344|ENSG00000196616|ENSG00000197894|ENSG00000198099|ENSG00000248144;;;;;
HMR_3907;ENSG00000117448;;;;;
HMR_4097;ENSG00000131069;;;;;
HMR_4099;ENSG00000111058|ENSG00000154930;;;;;
HMR_4108;ENSG00000131069;;;;;
HMR_4133;ENSG00000131069;;;;;
HMR_4137;ENSG00000091140|ENSG00000110435|ENSG00000131828|ENSG00000150768|ENSG00000163114|ENSG00000168291;;;;;
HMR_4281;ENSG00000111716|ENSG00000151116|ENSG00000166796|ENSG00000166800|ENSG00000171989;;;;;
HMR_4388;ENSG00000111716|ENSG00000151116|ENSG00000166796|ENSG00000166800|ENSG00000171989;;;;;
HMR_4283;ENSG00000006534|ENSG00000108602|ENSG00000132746|ENSG00000184254;;;;;
HMR_8357;ENSG00000072210|ENSG00000111275|ENSG00000137124|ENSG00000143149|ENSG00000164904;;;;;
HMR_4379;ENSG00000067057|ENSG00000141959|ENSG00000152556|ENSG00000160226;;;;;
HMR_4301;ENSG00000067057|ENSG00000141959|ENSG00000152556|ENSG00000160226;;;;;
HMR_4355;ENSG00000109107|ENSG00000136872|ENSG00000149925;;;;;
HMR_4358;ENSG00000067225|ENSG00000121900|ENSG00000143627|ENSG00000143630;;;;;
HMR_4360;ENSG00000180011;;;;;
HMR_4362;;;;;;
HMR_4363;ENSG00000074800|ENSG00000108515|ENSG00000111674;;;;;
HMR_4365;ENSG00000164708|ENSG00000171314|ENSG00000172331|ENSG00000226784;;;;;
HMR_4368;ENSG00000096006|ENSG00000102144|ENSG00000154305|ENSG00000170950;;;;;
HMR_4370;ENSG00000119640|ENSG00000170634;;;;;
HMR_4371;ENSG00000164708|ENSG00000171314|ENSG00000172331|ENSG00000226784;;;;;
HMR_4372;ENSG00000172331;;;;;
HMR_4373;ENSG00000105679|ENSG00000111640|ENSG00000178596;;;;;
HMR_4375;ENSG00000109107|ENSG00000136872|ENSG00000149925;;;;;
HMR_4377;ENSG00000130957|ENSG00000165140;;;;;
HMR_4381;ENSG00000105220;;;;;
HMR_4391;ENSG00000111669|ENSG00000230359;;;;;
HMR_4394;ENSG00000106633|ENSG00000156510|ENSG00000156515|ENSG00000159322|ENSG00000159399|ENSG00000160883;;;;;
HMR_4396;ENSG00000079739|ENSG00000154330|ENSG00000169299;;;;;
HMR_4521;ENSG00000131482|ENSG00000141349|ENSG00000152254;;;;;
HMR_6410;ENSG00000131828|ENSG00000163114|ENSG00000168291;;;;;
HMR_6412;ENSG00000150768;;;;;
HMR_7745;ENSG00000143891;;;;;
HMR_7746;ENSG00000106633|ENSG00000156510|ENSG00000156515|ENSG00000159399|ENSG00000160883;;;;;
HMR_7747;ENSG00000159322;;;;;
HMR_7748;ENSG00000105220;;;;;
HMR_7749;ENSG00000105220;;;;;
HMR_8360;ENSG00000121691;;;;;
HMR_8652;ENSG00000131482|ENSG00000141349|ENSG00000152254;;;;;
HMR_8757;ENSG00000130649;;;;;
HMR_3989;ENSG00000092529|ENSG00000171298|ENSG00000179087|ENSG00000214013|ENSG00000257335;;;;;
HMR_4122;ENSG00000109814;;;;;
HMR_4837;ENSG00000118094|ENSG00000142102;;;;;
HMR_5395;ENSG00000056998|ENSG00000163754;;;;;
HMR_5396;ENSG00000056998|ENSG00000104812|ENSG00000111713|ENSG00000163754;;;;;
HMR_9727;ENSG00000104812|ENSG00000111713|ENSG00000173281|ENSG00000119938;;;;;
HMR_5397;ENSG00000114480;;;;;
HMR_5398;ENSG00000068976|ENSG00000100504|ENSG00000100994;;;;;
HMR_5399;ENSG00000162688;;;;;
HMR_5400;ENSG00000162688;;;;;
HMR_5401;ENSG00000068976|ENSG00000100504|ENSG00000100994;;;;;
HMR_8568;ENSG00000120563|ENSG00000174876|ENSG00000187733|ENSG00000237763|ENSG00000240038|ENSG00000243480;;;;;
HMR_8569;ENSG00000120563|ENSG00000174876|ENSG00000187733|ENSG00000237763|ENSG00000240038|ENSG00000243480;;;;;
HMR_8570;ENSG00000120563|ENSG00000174876|ENSG00000187733|ENSG00000237763|ENSG00000240038|ENSG00000243480;;;;;
HMR_8571;ENSG00000120563|ENSG00000174876|ENSG00000187733|ENSG00000237763|ENSG00000240038|ENSG00000243480;;;;;
HMR_8572;ENSG00000120563|ENSG00000174876|ENSG00000187733|ENSG00000237763|ENSG00000240038|ENSG00000243480;;;;;
HMR_8573;ENSG00000120563|ENSG00000174876|ENSG00000187733|ENSG00000237763|ENSG00000240038|ENSG00000243480;;;;;
HMR_8574;ENSG00000120563|ENSG00000174876|ENSG00000187733|ENSG00000237763|ENSG00000240038|ENSG00000243480;;;;;
HMR_8575;ENSG00000120563|ENSG00000174876|ENSG00000187733|ENSG00000237763|ENSG00000240038|ENSG00000243480;;;;;
HMR_8576;ENSG00000120563|ENSG00000174876|ENSG00000187733|ENSG00000237763|ENSG00000240038|ENSG00000243480;;;;;
