ec:1.1.1.1;ADH1A,ADH1B,ADH1G,ADH4,ADH6,ADH7,ADHX
ec:2.7.4.6;CMPK2,KAD1,KAD4,KAD5,KAD7,KAD8,KAD9,KCY,NDK3,NDK6,NDK7,NDK8,NDKA,NDKB,NDKM
ec:2.7.4.8;KGUA
ec:2.7.4.9;KTHY
ec:2.7.4.10;KAD3,KAD4
ec:2.7.4.14;CMPK2,KCY
ec:2.7.4.21;IP6K1,IP6K2,IP6K3,VIP1,VIP2
ec:2.7.4.24;VIP1,VIP2
ec:2.7.6.1;PRPS1,PRPS2,PRPS3
ec:2.7.6.2;TPK1
ec:2.7.7.1;NMNA1,NMNA2,NMNA3
ec:2.7.7.2;FAD1
ec:2.7.7.3;COASY
ec:2.7.7.4;PAPS1,PAPS2
ec:2.7.7.6;RPA1,RPA2,RPB1,RPB2,RPC1,RPC2,RPOM
ec:2.7.7.7;DPOD1,DPOE1,DPOE2,DPOE3,DPOE4,DPOG1,DPOG2,DPOLA,DPOLB,DPOLL,DPOLM,DPOLN,DPOLQ,POK9,POLH,POLI,POLK,REV3L
ec:2.7.7.8;PNPT1
ec:2.7.7.9;UGPA
ec:2.7.7.12;GALT
ec:2.7.7.13;GMPPB
ec:2.7.7.14;PCY2
ec:2.7.7.15;PCY1A,PCY1B
ec:2.7.7.18;NMNA1,NMNA2,NMNA3
ec:2.7.7.19;GLD2,PAPD1,PAPD5,PAPD7,PAPOA,PAPOB,PAPOG,STPAP
ec:2.7.7.23;UAP1
ec:2.7.7.30;FPGT
ec:2.7.7.31;TDT
ec:2.7.7.41;CDS1,CDS2,TAM41
ec:2.7.7.43;NEUA
ec:2.7.7.48;RPB1
ec:2.7.7.49;LORF2,PO113,POK10,POK11,POK18,POK19,POK25,POK6,POK7,POK8,POK9,TERT
ec:2.7.7.50;MCE1
ec:2.7.7.52;STPAP,TUT4,TUT7
ec:2.7.7.72;TRNT1
ec:2.7.7.75;GEPH
ec:2.7.7.78;GDPP1
ec:2.7.7.79;THG1
ec:2.7.7.80;MOCS3
ec:2.7.7.83;UAP1
ec:2.7.7.84;OAS1,OAS2,OAS3
ec:2.7.7.86;CGAS
ec:2.7.7.n1;FICD
ec:2.7.8.1;CEPT1,EPT1
ec:2.7.8.2;CEPT1,CHPT1
ec:2.7.8.5;PGPS1
ec:2.7.8.11;CDIPT
ec:2.7.8.15;GPT
ec:2.7.8.17;GNPTA
ec:2.7.8.27;SMS1,SMS2
ec:2.7.8.29;PTSS1,PTSS2
ec:2.7.8.41;CRLS1
ec:2.7.9.3;SPS1,SPS2
ec:2.7.10.1;ALK,CSF1R,DDR1,DDR2,EGFR,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHAA,EPHB1,EPHB2,EPHB3,EPHB4,ERBB2,ERBB3,ERBB4,FGFR1,FGFR2,FGFR3,FGFR4,FLT3,IGF1R,INSRR,INSR,KIT,LTK,MERTK,MET,MUSK,NTRK1,NTRK2,NTRK3,PGFRA,PGFRB,RET,RON,ROR2,ROS1,RYK,TIE1,TIE2,TYRO3,UFO,VGFR1,VGFR2,VGFR3
ec:2.7.10.2;ABL1,ABL2,ACK1,BAZ1B,BLK,BMX,BTK,CSK,E2AK2,FAK1,FAK2,FER,FES,FGR,FRK,FYN,HCK,ITK,JAK1,JAK2,JAK3,KPCD,KSYK,LCK,LYN,MATK,MELK,PEAK1,PKDCC,PTK6,RIPK2,SG223,SRC,SRMS,STK16,STYK1,TEC,TNK1,TXK,TYK2,WEE1,WEE2,YES,ZAP70
ec:2.7.11.1;AAK1,AAPK1,AAPK2,ACK1,AKT1,AKT2,AKT3,ANKK1,ARAF,ATM,ATR,AURKA,AURKB,AURKC,BCR,BMP2K,BRAF,BRSK1,BRSK2,BUB1B,BUB1,C2TA,CDC7,CDK5,CHK1,CHK2,CSK21,CSK22,CSK23,CSKP,CTRO,DAPK1,DAPK2,DAPK3,DCLK1,DCLK2,DCLK3,DMPK,E2AK1,E2AK2,E2AK3,E2AK4,ERN1,ERN2,FA20C,GAK,GSK3A,GSK3B,GWL,HASP,HIPK1,HIPK2,HIPK3,HIPK4,HUNK,ICK,ILK,IRAK1,IRAK3,IRAK4,KALRN,KC1AL,KC1A,KC1D,KC1E,KC1G1,KC1G2,KC1G3,KPSH1,KPSH2,KS6A1,KS6A2,KS6A3,KS6A4,KS6A5,KS6A6,KS6B1,KS6B2,KS6C1,KSR2,LATS1,LATS2,LIMK1,LIMK2,LMTK1,LMTK2,LMTK3,LRRK1,LRRK2,M3K19,M4K1,M4K2,M4K3,M4K4,M4K5,MAK,MAPK2,MAPK3,MAPK5,MARK1,MARK2,MARK3,MARK4,MAST1,MAST2,MAST3,MAST4,MELK,MINK1,MKNK1,MKNK2,MOS,MRCKA,MRCKB,MRCKG,MTOR,MYLK4,MYO3A,MYO3B,NEK10,NEK11,NEK1,NEK2,NEK3,NEK4,NEK5,NEK6,NEK7,NEK8,NEK9,NIM1,NRK,NUAK1,NUAK2,OBSCN,OXSR1,PAK1,PAK2,PAK3,PAK4,PAK5,PAK6,PASK,PDK1L,PDPK1,PDPK2,PHKG1,PI3R4,PIM1,PIM2,PIM3,PINK1,PK3CA,PK3CG,PMYT1,PRKDC,PRKX,PRKY,PRP4B,PRPK,RAF1,RIOK1,RIOK2,RIOK3,RIPK1,RIPK2,RIPK3,RIPK4,ROCK1,ROCK2,RPKL1,SBK1,SBK2,SBK3,SG494,SGK1,SGK2,SGK3,SIK1,SIK2,SIK3,SLK,SMG1,SNRK,SPEG,SRPK1,SRPK2,SRPK3,ST17A,ST17B,ST32A,ST32B,ST32C,ST38L,STK10,STK11,STK16,STK19,STK24,STK25,STK26,STK31,STK33,STK35,STK36,STK38,STK39,STK3,STK40,STK4,TAF1,TAOK1,TAOK2,TAOK3,TBK1,TITIN,TLK1,TLK2,TNI3K,TNIK,TRIO,TRPM6,TRPM7,TSSK1,TSSK2,TSSK3,TSSK4,TSSK6,TTBK1,TTBK2,UHMK1,ULK1,ULK2,ULK3,ULK4,VPRBP,VRK1,VRK2,WNK1,WNK2,WNK3,WNK4
ec:2.7.11.2;PDK1,PDK2,PDK3,PDK4
ec:2.7.11.4;BCKD
ec:2.7.11.8;FASTK
ec:2.7.11.10;IKKA,IKKB,IKKE
ec:2.7.11.11;KAPCA,KAPCB,KAPCG
ec:2.7.11.12;KGP1,KGP2
ec:2.7.11.13;KPCA,KPCB,KPCD1,KPCD2,KPCD3,KPCD,KPCE,KPCG,KPCI,KPCL,KPCT,KPCZ,PKN1,PKN2,PKN3
ec:2.7.11.14;GRK7,RK
ec:2.7.11.15;ARBK1,ARBK2
ec:2.7.11.16;GRK4,GRK5,GRK6
ec:2.7.11.17;KCC1A,KCC1B,KCC1D,KCC1G,KCC2A,KCC2B,KCC2D,KCC2G,KCC4,KKCC1,KKCC2
ec:2.7.11.18;MYLK2,MYLK3,MYLK
ec:2.7.11.19;PHKG1,PHKG2
ec:2.7.11.20;EF2K
ec:2.7.11.21;PLK1,PLK2,PLK3,PLK4
ec:2.7.11.22;CD11A,CD11B,CDK10,CDK12,CDK13,CDK14,CDK15,CDK16,CDK17,CDK18,CDK19,CDK1,CDK20,CDK2,CDK3,CDK4,CDK6,CDK7,CDK8,CDK9,CDKL1,CDKL2,CDKL3,CDKL4,CDKL5,MOK
ec:2.7.11.23;CDK12,CDK13,CDK1,CDK7,CDK8,CDK9
ec:2.7.11.24;MK01,MK03,MK04,MK06,MK07,MK08,MK09,MK10,MK11,MK12,MK13,MK14,MK15,NLK
ec:2.7.11.25;M3K10,M3K11,M3K12,M3K13,M3K14,M3K15,M3K1,M3K2,M3K3,M3K4,M3K5,M3K6,M3K7,M3K8,M3K9,M3KL4,MLTK
ec:2.7.11.26;AAPK1,BRSK1,BRSK2,GSK3A,GSK3B,KC1D,MARK1,MARK2,PHKG1
ec:2.7.11.27;AAPK1,AAPK2
ec:2.7.11.30;ACV1B,ACV1C,ACVL1,ACVR1,AMHR2,AVR2A,AVR2B,BMPR2,BMR1A,BMR1B,TGFR1,TGFR2
ec:2.7.11.31;AAPK1,AAPK2
ec:2.7.12.1;CLK1,CLK2,CLK3,CLK4,DUSTY,DYR1A,DYR1B,DYRK2,DYRK3,DYRK4,TESK1,TESK2,TTK
ec:2.7.12.2;MP2K1,MP2K2,MP2K3,MP2K4,MP2K5,MP2K6,MP2K7,TOPK
ec:2.7.13.3;NDKB
ec:2.8.1.1;THTR
ec:2.8.1.2;THTM
ec:2.8.1.7;NFS1
ec:2.8.1.8;LIAS
ec:2.8.1.9;MOCOS
ec:2.8.1.11;MOCS3
ec:2.8.1.12;MOC2B
ec:2.8.1.14;MTU1
ec:2.8.2.1;ST1A1,ST1A2,ST1A3,ST1A4
ec:2.8.2.2;ST1C3,ST2B1
ec:2.8.2.4;ST1E1
ec:2.8.2.5;CHSTB,CHSTC,CHSTD
ec:2.8.2.8;NDST1,NDST2,NDST3,NDST4
ec:2.8.2.11;G3ST1
ec:2.8.2.14;ST2A1
ec:2.8.2.17;CHST3,CHST7
ec:2.8.2.20;TPST1,TPST2
ec:2.8.2.21;CHST1
ec:2.8.2.23;HS3S1,HS3S4,HS3S5,HS3S6
ec:2.8.2.29;HS3S2
ec:2.8.2.30;HS3SA,HS3SB
ec:2.8.2.33;CHSTF
ec:2.8.2.35;CHSTE
ec:2.8.2.n2;ST6B1
ec:2.8.3.5;SCOT1,SCOT2
ec:2.8.3.13;SUCHY
ec:2.8.4.5;CDKAL
ec:2.9.1.2;SPCS
ec:2.10.1.1;GEPH
ec:3.1.1.1;EST1,EST2,EST3,EST5A
ec:3.1.1.2;PON1,PON2,PON3
ec:3.1.1.3;AAAD,CEL,LIPC,LIPE,LIPG,LIPP,LIPR2,LIPR3,PLPL2,PLPL3,PLPL4
ec:3.1.1.4;ABHD3,HRSL3,PA21B,PA24A,PA24B,PA24C,PA24D,PA24E,PA24F,PA2G3,PA2G5,PA2GA,PA2GD,PA2GE,PA2GF,PA2GX,PG12A,PLB1,PLPL9
ec:3.1.1.5;LPP60,PA24A,PLB1,PLPL6,PLPL8
ec:3.1.1.7;ACES
ec:3.1.1.8;CHLE
ec:3.1.1.13;CEL,LICH
ec:3.1.1.17;RGN
ec:3.1.1.23;ABD12,ABHD2,ABHD6,MGLL
ec:3.1.1.26;LIPR2
ec:3.1.1.29;ICT1,PTH2,PTH,PTRD1
ec:3.1.1.31;6PGL,G6PE
ec:3.1.1.32;ABHD3,HRSL3
ec:3.1.1.34;LIPL
ec:3.1.1.47;LPP60,PA1B2,PA1B3,PAFA2,PAFA
ec:3.1.1.53;SIAE
ec:3.1.1.56;EST1,EST2,ESTD
ec:3.1.1.64;RPE65
ec:3.1.1.77;AOAH
ec:3.1.1.79;LIPS
ec:3.1.1.81;PON1,PON2,PON3
ec:3.1.1.84;EST2
ec:3.1.1.89;PPME1
ec:3.1.1.93;ABHDA
ec:3.1.1.97;DPH7
ec:3.1.1.98;NOTUM
ec:3.1.2.1;ACO12
ec:3.1.2.2;ACO15,ACOT1,ACOT2,ACOT4,BAAT,BACHL,BACH,THEM4
ec:3.1.2.4;HIBCH
ec:3.1.2.6;GLO2
ec:3.1.2.12;ESTD
ec:3.1.2.14;FAS,SAST
ec:3.1.2.22;PPT1
ec:3.1.2.27;ACOT8
ec:3.1.3.1;PPB1,PPBI,PPBN,PPBT
ec:3.1.3.2;ACP7,PPA5,PPA6,PPAC,PPAL,PPAP,PPAT
ec:3.1.3.3;PLPP,SERB
ec:3.1.3.4;LPIN1,LPIN2,LPIN3,PLPP1,PLPP2,PLPP3,PLPP4,PLPP5,PLPR2,PLPR3,PLPR4
ec:3.1.3.5;5NT1A,5NT1B,5NT3A,5NT3B,5NTC,5NTD,PPAP
ec:3.1.3.7;BPNT1,IMPA3
ec:3.1.3.9;G6PC2,G6PC3,G6PC
ec:3.1.3.11;F16P1,F16P2
ec:3.1.3.16;CC14A,CC14B,CC14C,CDKN3,CNEP1,CPPED,CTDP1,CTDS1,CTDS2,CTDSL,DS13A,DS13B,DUPD1,DUS10,DUS12,DUS14,DUS15,DUS16,DUS18,DUS19,DUS1,DUS21,DUS22,DUS23,DUS26,DUS28,DUS2,DUS3,DUS4,DUS5,DUS6,DUS7,DUS8,DUS9,EPM2A,EYA1,ILKAP,PGAM5,PHLP1,PHLP2,PP1A,PP1B,PP1G,PP2AA,PP2AB,PP2BA,PP2BB,PP2BC,PP4C,PPE1,PPE2,PPM1A,PPM1B,PPM1D,PPM1E,PPM1F,PPM1G,PPM1H,PPM1J,PPM1K,PPM1L,PPM1M,PPM1N,PPP5,PPP6,PPTC7,PTEN,PTPM1,RPAP2,SSH1,SSH2,SSH3,SSU72,UBCP1
ec:3.1.3.21;PGP
ec:3.1.3.25;IMPA1,IMPA2,IMPA3,SAC2
ec:3.1.3.27;PTPM1
ec:3.1.3.29;NANP
ec:3.1.3.32;PNKP
ec:3.1.3.33;MCE1
ec:3.1.3.36;I5P2,INP5E,OCRL,SYNJ1,SYNJ2
ec:3.1.3.43;PDP1,PDP2
ec:3.1.3.46;F261,F262,F263,F264,TIGAR
ec:3.1.3.48;AUXI,CC14A,CC14B,CC14C,CDKN3,DS13A,DS13B,DUPD1,DUS10,DUS12,DUS14,DUS15,DUS16,DUS18,DUS19,DUS1,DUS21,DUS22,DUS23,DUS26,DUS28,DUS2,DUS3,DUS4,DUS5,DUS6,DUS7,DUS8,DUS9,EPM2A,EYA1,EYA2,EYA3,EYA4,MGDP1,MPIP1,MPIP2,MPIP3,MTMR3,MTMR4,PGP,PPAC,PTEN,PTN11,PTN12,PTN13,PTN14,PTN18,PTN1,PTN20,PTN21,PTN22,PTN23,PTN2,PTN3,PTN4,PTN5,PTN6,PTN7,PTN9,PTPM1,PTPR2,PTPRA,PTPRB,PTPRC,PTPRD,PTPRE,PTPRF,PTPRG,PTPRH,PTPRJ,PTPRK,PTPRM,PTPRO,PTPRQ,PTPRR,PTPRS,PTPRT,PTPRU,PTPRZ,SSH1,SSH2,SSH3,TP4A1,TP4A2,TP4A3,TPTE,UBS3B
ec:3.1.3.53;PP1B
ec:3.1.3.56;I5P1,INP5K,PI5PA
ec:3.1.3.57;INPP
ec:3.1.3.62;MINP1
ec:3.1.3.64;MTM1,MTMR1,MTMR2,MTMR3
ec:3.1.3.66;INP4A,INP4B
ec:3.1.3.67;PTEN,TPTE2
ec:3.1.3.74;PHOP2,PLPP
ec:3.1.3.75;PHOP1
ec:3.1.3.76;HYES
ec:3.1.3.77;ENOPH
ec:3.1.3.78;TM55A,TM55B
ec:3.1.3.80;MINP1
ec:3.1.3.86;SHIP1,SHIP2
ec:3.1.3.91;5NT3A,5NT3B
ec:3.1.3.94;IMPA1
ec:3.1.3.95;MTM1,MTMR1,MTMR2,MTMR3
ec:3.1.3.96;HDHD1
ec:3.1.4.1;ENPP1,ENPP3,FAN1
ec:3.1.4.2;GPCP1
ec:3.1.4.4;PLD1,PLD2,PLD3,PLD4
ec:3.1.4.11;PLCB1,PLCB2,PLCB3,PLCB4,PLCD1,PLCD3,PLCD4,PLCE1,PLCG1,PLCG2,PLCH1,PLCH2,PLCZ1
ec:3.1.4.12;ASM,ENPP7,NSMA2,NSMA3,NSMA
ec:3.1.4.17;PDE10,PDE1A,PDE1B,PDE1C,PDE2A,PDE3A,PDE3B
ec:3.1.4.35;CNCG,CNRG,PDE10,PDE11,PDE5A,PDE6A,PDE6B,PDE6C,PDE9A
ec:3.1.4.37;CN37
ec:3.1.4.38;ENPP6
ec:3.1.4.39;ENPP2
ec:3.1.4.43;GDPD2
ec:3.1.4.44;GDE1
ec:3.1.4.45;NAGPA
ec:3.1.4.50;PHLD
ec:3.1.4.53;PDE11,PDE4A,PDE4B,PDE4C,PDE4D,PDE7A,PDE7B,PDE8A,PDE8B
ec:3.1.4.54;NAPEP
ec:3.1.6.2;STS
ec:3.1.6.4;GALNS
ec:3.1.6.8;ARSA
ec:3.1.6.12;ARSB
ec:3.1.6.13;IDS
ec:3.1.6.14;GNS
ec:3.1.7.2;MESH1
ec:3.1.8.1;PON1,PON3
ec:3.1.11.1;EXD2
ec:3.1.11.2;RAD1,RAD9A,TREX1,TREX2
ec:3.1.13.1;ISG20
ec:3.1.13.4;CNO6L,CNOT6,CNOT7,CNOT8,NOCT,PAN2,PARN,PDE12
ec:3.1.21.1;DNAS1
ec:3.1.22.1;DNS2A,DNS2B
ec:3.1.26.3;DICER,RNC
ec:3.1.26.4;PO113,POK10,POK11,POK18,POK19,POK25,POK6,POK7,POK8,POK9,RNH1,RNH2A
ec:3.1.26.5;POP1,POP5,POP7,RPP14,RPP21,RPP25,RPP29,RPP30,RPP38,RPP40
ec:3.1.26.11;RNZ1,RNZ2
ec:3.1.26.n2;AGO2
ec:3.1.27.5;RNAS1,RNAS2
ec:3.2.1.1;AMY1,AMY2B,AMYP
ec:3.2.1.3;MGAL,MGA
ec:3.2.1.10;SUIS
ec:3.2.1.14;CHIA,CHIT1
ec:3.2.1.17;LYSC,LYZL1,LYZL2,LYZL5,LYZL6
ec:3.2.1.18;NEUR1,NEUR2,NEUR3,NEUR4
ec:3.2.1.20;GANC,LYAG,MGA
ec:3.2.1.21;GBA3
ec:3.2.1.22;AGAL
ec:3.2.1.23;BGAL
ec:3.2.1.24;MA2B1,MA2B2,MA2C1
ec:3.2.1.25;MANBA
ec:3.2.1.28;TREA
ec:3.2.1.31;BGLR,KLOT
ec:3.2.1.33;GDE
ec:3.2.1.35;CEMIP,HYAL1,HYAL2,HYAL3,HYAL4,HYALP
ec:3.2.1.45;GBA2,GLCM
ec:3.2.1.46;GALC
ec:3.2.1.48;SUIS
ec:3.2.1.49;NAGAB
ec:3.2.1.50;ANAG
ec:3.2.1.51;FUCO2,FUCO
ec:3.2.1.52;HEXA,HEXB,HEXDC
ec:3.2.1.62;LPH
ec:3.2.1.76;IDUA
ec:3.2.1.84;GANAB
ec:3.2.1.96;ENASE
ec:3.2.1.106;MOGS
ec:3.2.1.108;LPH
ec:3.2.1.113;EDEM3,MA1A1,MA1A2,MA1B1,MA1C1
ec:3.2.1.114;MA2A1,MA2A2
ec:3.2.1.130;MANEA
ec:3.2.1.143;ARHL2,PARG
ec:3.2.1.166;HPSE
ec:3.2.1.169;OGA
ec:3.2.1.183;GLCNE
ec:3.2.2.6;BST1,CD38
ec:3.2.2.19;ADPRH
ec:3.2.2.21;3MG
ec:3.2.2.27;UNG
ec:3.2.2.29;TDG
ec:3.3.1.1;SAHH2,SAHH3,SAHH
ec:3.3.2.2;TM86B
ec:3.3.2.6;LKHA4
ec:3.3.2.9;HYEP
ec:3.3.2.10;HYES
ec:3.4.11.1;AMPL
ec:3.4.11.2;AMPN
ec:3.4.11.3;LCAP
ec:3.4.11.5;AMPL
ec:3.4.11.6;AMPB
ec:3.4.11.7;AMPE
ec:3.4.11.9;XPP1,XPP2,XPP3
ec:3.4.11.14;PSA
ec:3.4.11.18;MAP11,MAP12,MAP2
ec:3.4.11.21;DNPEP
ec:3.4.13.9;PEPD
ec:3.4.13.18;CNDP2
ec:3.4.13.19;DPEP1,DPEP2,DPEP3
ec:3.4.13.20;CNDP1
ec:3.4.14.1;CATC
ec:3.4.14.2;DPP2
ec:3.4.14.4;DPP3
ec:3.4.14.5;DPP4,DPP8,DPP9,SEPR
ec:3.4.14.9;TPP1
ec:3.4.14.10;TPP2
ec:3.4.15.1;ACE
ec:3.4.16.2;PCP
ec:3.4.16.5;PPGB
ec:3.4.17.1;CBPA1,CBPA3
ec:3.4.17.2;CBPB1
ec:3.4.17.3;CBPN
ec:3.4.17.10;CBPE
ec:3.4.17.12;CBPM
ec:3.4.17.15;CBPA2
ec:3.4.17.20;CBPB2
ec:3.4.17.21;FOLH1,NALD2,NALDL
ec:3.4.17.22;CBPD
ec:3.4.17.23;ACE2
ec:3.4.18.1;CATZ
ec:3.4.19.1;ACPH
ec:3.4.19.3;PGPI
ec:3.4.19.5;ASGL1
ec:3.4.19.6;TRHDE
ec:3.4.19.9;GGH
ec:3.4.19.12;ALG13,ATX3L,ATX3,BAP1,CYLD,EIF3F,F188A,F188B,FA63A,FA63B,JOS1,JOS2,OTU1,OTU6A,OTU6B,OTU7A,OTU7B,OTUB1,OTUB2,OTUD1,OTUD3,OTUD4,OTUD5,OTUL,TNAP3,U17L1,U17L2,U17L3,U17L5,U17L6,U17LA,U17LB,U17LD,U17LF,U17LH,U17LI,U17LJ,U17LK,U17LL,U17LM,U17LO,UBP10,UBP11,UBP12,UBP13,UBP14,UBP15,UBP16,UBP19,UBP1,UBP20,UBP21,UBP22,UBP24,UBP25,UBP26,UBP27,UBP28,UBP29,UBP2,UBP30,UBP31,UBP32,UBP33,UBP34,UBP35,UBP36,UBP37,UBP38,UBP3,UBP40,UBP41,UBP42,UBP43,UBP44,UBP45,UBP46,UBP47,UBP48,UBP49,UBP4,UBP51,UBP5,UBP6,UBP7,UBP8,UCHL1,UCHL3,UCHL5,UL17C,USP9X,USP9Y,VCIP1,ZRAN1
ec:3.4.19.13;GGT1,GGT3,GGT5,GGT6,GGT7
ec:3.4.19.14;GGT1,GGT5
ec:3.4.21.1;CTRB1,CTRB2
ec:3.4.21.2;CTRC
ec:3.4.21.4;PRS58,TRY1,TRY2,TRY3,TRY6
ec:3.4.21.5;THRB
ec:3.4.21.6;FA10
ec:3.4.21.7;PLMN
ec:3.4.21.9;ENTK
ec:3.4.21.10;ACRO
ec:3.4.21.20;CATG
ec:3.4.21.21;FA7
ec:3.4.21.22;FA9
ec:3.4.21.26;PPCE,SEPR
ec:3.4.21.27;FA11
ec:3.4.21.34;KLKB1
ec:3.4.21.35;KLK1,KLK2
ec:3.4.21.36;CELA1
ec:3.4.21.37;ELNE
ec:3.4.21.38;FA12
ec:3.4.21.39;CMA1
ec:3.4.21.41;C1R
ec:3.4.21.42;C1S
ec:3.4.21.43;CO2
ec:3.4.21.45;CFAI
ec:3.4.21.46;CFAD
ec:3.4.21.47;CFAB
ec:3.4.21.59;TRYB1,TRYB2,TRYD
ec:3.4.21.68;TPA
ec:3.4.21.69;PROC
ec:3.4.21.70;CEL3A,CEL3B
ec:3.4.21.71;CEL2A,CEL2B
ec:3.4.21.73;UROK
ec:3.4.21.75;FURIN
ec:3.4.21.76;PRTN3
ec:3.4.21.77;KLK3
ec:3.4.21.78;GRAA
ec:3.4.21.79;GRAB
ec:3.4.21.89;SC11A,SC11B,SC11C
ec:3.4.21.92;CLPP
ec:3.4.21.93;NEC1
ec:3.4.21.94;NEC2
ec:3.4.21.104;MASP2
ec:3.4.21.105;PARL,RHBL1,RHBL2,RHBL3,RHBL4
ec:3.4.21.106;HEPS
ec:3.4.21.108;HTRA2
ec:3.4.21.109;ST14
ec:3.4.21.112;MBTP1
ec:3.4.21.117;KLK7
ec:3.4.21.118;KLK8
ec:3.4.22.1;CATB
ec:3.4.22.15;CATL1
ec:3.4.22.16;CATH
ec:3.4.22.27;CATS
ec:3.4.22.34;LGMN
ec:3.4.22.36;CASP1
ec:3.4.22.38;CATK
ec:3.4.22.40;BLMH
ec:3.4.22.41;CATF
ec:3.4.22.42;CATO
ec:3.4.22.43;CATL2
ec:3.4.22.49;ESPL1
ec:3.4.22.52;CAN1
ec:3.4.22.53;CAN2,CAN8
ec:3.4.22.54;CAN3
ec:3.4.22.55;CASP2
ec:3.4.22.56;CASP3
ec:3.4.22.57;CASP4
ec:3.4.22.58;CASP5
ec:3.4.22.59;CASP6
ec:3.4.22.60;CASP7
ec:3.4.22.61;CASP8
ec:3.4.22.62;CASP9
ec:3.4.22.63;CASPA
ec:3.4.22.68;SENP1,SENP2,SENP3,SENP5,SENP6,SENP7,SENP8
ec:3.4.23.1;PEPA3,PEPA4,PEPA5
ec:3.4.23.3;PEPC
ec:3.4.23.5;CATD
ec:3.4.23.15;RENI
ec:3.4.23.34;CATE
ec:3.4.23.45;BACE2
ec:3.4.23.46;BACE1
ec:3.4.23.50;POK9,VP113,VPK04,VPK10,VPK18,VPK19,VPK21,VPK24,VPK25,VPK6,VPK7,VPK8,VPK9
ec:3.4.24.7;MMP1
ec:3.4.24.11;MMEL1,NEP
ec:3.4.24.14;ATS2
ec:3.4.24.15;THOP1
ec:3.4.24.16;NEUL
ec:3.4.24.17;MMP3
ec:3.4.24.18;MEP1A
ec:3.4.24.19;BMP1
ec:3.4.24.22;MMP10
ec:3.4.24.23;MMP7
ec:3.4.24.24;MMP2
ec:3.4.24.34;MMP8
ec:3.4.24.35;MMP9
ec:3.4.24.56;IDE
ec:3.4.24.59;MIPEP
ec:3.4.24.61;NRDC
ec:3.4.24.63;MEP1B
ec:3.4.24.64;MPPA,MPPB
ec:3.4.24.65;MMP12
ec:3.4.24.71;ECE1,ECE2
ec:3.4.24.79;PAPP1
ec:3.4.24.80;MMP14
ec:3.4.24.81;ADA10
ec:3.4.24.82;ATS4
ec:3.4.24.84;FACE1
ec:3.4.24.85;MBTP2
ec:3.4.24.86;ADA17
ec:3.4.24.87;ATS13
ec:3.4.25.1;PSA1,PSA2,PSA3,PSA4,PSA5,PSA6,PSA7L,PSA7,PSB10,PSB11,PSB1,PSB2,PSB3,PSB4,PSB5,PSB6,PSB7,PSB8,PSB9
ec:3.5.1.1;ASGL1,LPP60
ec:3.5.1.2;GLSK,GLSL
ec:3.5.1.3;NIT2
ec:3.5.1.6;BUP1
ec:3.5.1.9;KFA
ec:3.5.1.12;BTD
ec:3.5.1.14;ACY1
ec:3.5.1.15;ACY2
ec:3.5.1.23;ACER1,ACER2,ASAH1,ASAH2
ec:3.5.1.25;NAGA
ec:3.5.1.26;ASPG
ec:3.5.1.28;PGRP2
ec:3.5.1.52;NGLY1
ec:3.5.1.88;DEFM
ec:3.5.1.89;PIGL
ec:3.5.1.92;VNN1,VNN2,VNN3
ec:3.5.1.98;HDA10,HDA11,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9
ec:3.5.1.99;FAAH1,FAAH2
ec:3.5.1.114;ACY3
ec:3.5.2.2;DPYS
ec:3.5.2.3;PYR1
ec:3.5.2.7;HUTI
ec:3.5.2.9;OPLA
ec:3.5.3.1;ARGI1,ARGI2
ec:3.5.3.4;ALLC
ec:3.5.3.11;SPEB
ec:3.5.3.15;PADI1,PADI2,PADI3,PADI4,PADI6
ec:3.5.3.18;DDAH1,DDAH2
ec:3.5.4.3;GUAD
ec:3.5.4.4;ADA,CECR1
ec:3.5.4.5;CDD
ec:3.5.4.6;AMPD1,AMPD2,AMPD3
ec:3.5.4.9;C1TC,MTD2L,MTDC
ec:3.5.4.10;PUR9
ec:3.5.4.12;DCTD
ec:3.5.4.16;GCH1
ec:3.5.4.34;ADAT1
ec:3.5.4.36;ABEC1,ABEC2
ec:3.5.4.37;DSRAD,RED1
ec:3.5.4.38;AICDA
ec:3.5.99.6;GNPI1,GNPI2
ec:3.6.1.1;IPYR2,IPYR,LHPP,PRUNE
ec:3.6.1.3;ATAD1,ATAD2,CLPB,WRIP1
ec:3.6.1.5;ENTP1,ENTP3,ENTP8
ec:3.6.1.6;CANT1,ENTP4,ENTP5,ENTP6
ec:3.6.1.7;ACYP1,ACYP2
ec:3.6.1.9;ENPP1,ENPP3,ITPA,NUD15
ec:3.6.1.12;DCTP1
ec:3.6.1.13;ADPRM,NUDT5,NUDT9
ec:3.6.1.15;NTPCR
ec:3.6.1.16;ADPRM
ec:3.6.1.17;AP4A,SYG
ec:3.6.1.22;NUD12
ec:3.6.1.23;DUT
ec:3.6.1.28;THTPA
ec:3.6.1.29;ENPP4,FHIT
ec:3.6.1.42;ENTP5
ec:3.6.1.43;DOPP1
ec:3.6.1.45;NUD14
ec:3.6.1.52;NUD10,NUD11,NUDT3,NUDT4
