ec:1.1.1.1;ADH1A,ADH1B,ADH1G,ADH4,ADH6,ADH7,ADHX
ec:1.8.5.1;GSTO1,GSTO2
ec:1.8.98.2;SRXN1
ec:1.9.3.1;COX1
ec:1.10.2.2;UCRI
ec:1.10.5.1;NQO2
ec:1.11.1.6;CATA
ec:1.11.1.7;PERE,PERL,PXDNL,PXDN
ec:1.11.1.8;PERT
ec:1.11.1.9;GPX1,GPX2,GPX3,GPX5,GPX6,GPX7,GPX8,PRDX6
ec:1.11.1.12;GPX4
ec:1.11.1.15;PRDX1,PRDX2,PRDX3,PRDX4,PRDX5,PRDX6,SESN1,SESN2
ec:1.11.1.20;PGFS
ec:1.11.2.2;PERM
ec:1.13.11.5;HGD
ec:1.13.11.6;3HAO
ec:1.13.11.11;T23O
ec:1.13.11.18;ETHE1
ec:1.13.11.19;AEDO
ec:1.13.11.20;CDO1
ec:1.13.11.24;PIR
ec:1.13.11.27;HPPD
ec:1.13.11.31;LOX12,LOX15
ec:1.13.11.33;LOX15,LX15B
ec:1.13.11.34;LOX5
ec:1.13.11.52;I23O1
ec:1.13.11.54;MTND
ec:1.13.11.63;BCDO1
ec:1.13.11.71;BCDO2
ec:1.13.99.1;MIOX
ec:1.14.11.1;BODG
ec:1.14.11.2;P4HA1,P4HA2,P4HA3
ec:1.14.11.4;PLOD1,PLOD2,PLOD3
ec:1.14.11.7;P3H1,P3H2,P3H3
ec:1.14.11.8;TMLH
ec:1.14.11.16;ASPH
ec:1.14.11.18;PAHX
ec:1.14.11.27;KDM2A,KDM2B,KDM8,NO66,PHF8
ec:1.14.11.29;EGLN1,EGLN2,EGLN3
ec:1.14.11.30;HIF1N
ec:1.14.11.33;ALKB1,ALKB2
ec:1.14.11.42;TYW5
ec:1.14.11.54;ALKB3
ec:1.14.11.n2;TET1,TET2,TET3
ec:1.14.11.n4;HIF1N
ec:1.14.13.8;FMO1,FMO2,FMO3,FMO4,FMO5,FMO6
ec:1.14.13.9;KMO
ec:1.14.13.30;CP4F2,CP4F3
ec:1.14.13.32;CP3A4
ec:1.14.13.39;NOS1,NOS2,NOS3
ec:1.14.13.48;CP2C9,CP2CJ
ec:1.14.13.49;CP2C9,CP2CJ
ec:1.14.13.67;CP3A4
ec:1.14.13.70;CP51A
ec:1.14.13.72;MSMO1
ec:1.14.13.80;CP2C9,CP2CJ
ec:1.14.13.97;CP3A4
ec:1.14.13.148;FMO3
ec:1.14.13.157;CP3A4
ec:1.14.13.194;CP4F2,CP4FB
ec:1.14.13.199;CP4F3,CP4V2
ec:1.14.13.205;CP4AB,CP4AM
ec:1.14.13.225;MICA1,MICA2,MICA3
ec:1.14.13.n7;CP2E1
ec:1.14.14.1;CP1A1,CP1A2,CP1B1,CP2A7,CP2AD,CP2C8,CP2CI,CP2D6,CP2D7,CP2F1,CP2J2,CP2S1,CP2U1,CP343,CP3A4,CP3A5,CP3A7,CP4B1,CP4F8,CP4FC,CP4X1,CP4Z1
ec:1.14.14.14;CP19A
ec:1.14.14.16;CP21A
ec:1.14.14.17;ERG1
ec:1.14.14.18;HMOX1,HMOX2
ec:1.14.14.19;CP17A
ec:1.14.14.23;CP7A1
ec:1.14.14.24;CP2R1
ec:1.14.14.25;CP46A
ec:1.14.14.26;CP39A
ec:1.14.14.29;CP7B1
ec:1.14.14.32;CP17A
ec:1.14.15.4;C11B1,C11B2
ec:1.14.15.5;C11B2
ec:1.14.15.6;CP11A
ec:1.14.15.15;CP27A
ec:1.14.15.16;CP24A
ec:1.14.15.18;CP27B
ec:1.14.16.1;PH4H
ec:1.14.16.2;TY3H
ec:1.14.16.4;TPH1,TPH2
ec:1.14.16.5;ALKMO
ec:1.14.17.1;DOPO
ec:1.14.17.3;AMD
ec:1.14.18.1;TYRO
ec:1.14.18.5;DEGS2
ec:1.14.18.8;CP8B1
ec:1.14.19.1;ACOD,SCD5
ec:1.14.19.3;FADS2
ec:1.14.19.17;DEGS1,DEGS2
ec:1.14.19.20;SC5D
ec:1.14.99.1;PGH1,PGH2
ec:1.14.99.29;DOHH
ec:1.14.99.38;CH25H,CP2C9
ec:1.15.1.1;SODC,SODE,SODM
ec:1.16.1.8;MTRR
ec:1.16.3.1;CERU,FRDA,FRIH,FTMT
ec:1.17.1.4;XDH
ec:1.17.3.2;XDH
ec:1.17.4.1;RIR1,RIR2B,RIR2
ec:1.17.4.4;VKOR1,VKORL
ec:1.17.99.3;ACOX2
