tcdb:9.a.14.15.1;GABBR2
tcdb:9.a.49.1.3;ARL6IP5
tcdb:1.f.1.2.1;DYSF
tcdb:8.a.57.1.1;WFS1
tcdb:2.a.1.19.3;WFS1
tcdb:1.a.46.1.1;WFS1
tcdb:3.a.5.9.1;WFS1
tcdb:1.a.4.5.5;WFS1
tcdb:1.a.8.16.1;WFS1
tcdb:1.i.1.1.3;IPO13
tcdb:1.i.1.1.3;SUN1
tcdb:3.a.1.211.6;SUN1
tcdb:2.a.60.1.20;SLCO2B1
tcdb:3.a.5.9.1;SEC31A
tcdb:1.i.1.1.3;CCNB2
tcdb:9.b.25.2.1;MFN2
tcdb:1.a.9.5.2;MFN2
tcdb:1.a.1.11.5;MFN2
tcdb:2.a.97.1.1;LETM1
tcdb:9.b.207.1.1;STBD1
tcdb:3.a.1.208.10;STBD1
tcdb:2.a.29.24.1;STBD1
tcdb:1.i.1.1.3;KCNH1
tcdb:1.i.1.1.3;TNKS
tcdb:1.a.1.8.2;TNKS
tcdb:9.b.17.1.1;TNKS
tcdb:1.f.1.1.1;TNKS
tcdb:3.a.1.201.2;TNKS
tcdb:1.i.1.1.3;IPO7
tcdb:8.a.61.1.2;CNIH1
tcdb:2.a.58.1.4;SLC34A2
tcdb:1.h.1.1.2;SLC34A2
tcdb:3.a.1.211.14;ABCA1
tcdb:2.a.1.1.59;ABCA1
tcdb:2.a.105.1.2;BRP44
tcdb:9.b.199.1.1;TMEM50A
tcdb:1.h.1.1.14;CLDN1
tcdb:1.a.12.1.7;CLIC3
tcdb:2.a.29.24.3;SLC25A27
tcdb:8.a.40.1.17;TSPAN15
tcdb:2.a.1.13.9;SLC16A8
tcdb:1.b.8.2.5;TOMM40
tcdb:3.d.4.11.1;TOMM40
tcdb:3.d.4.11.1;TOMM40
tcdb:3.d.4.11.1;TOMM40
tcdb:9.a.70.1.1;GOT2
tcdb:1.c.89.1.2;PENK
tcdb:1.c.89.1.1;PENK
tcdb:8.a.89.1.1;IL1A
tcdb:1.a.107.1.3;MB
tcdb:1.a.9.1.1;CHRNA1
tcdb:2.a.31.1.1;CHRNA1
tcdb:1.c.92.1.2;APCS
tcdb:1.c.79.1.2;APCS
tcdb:9.a.14.1.1;OPN1LW
tcdb:2.a.6.6.5;OPN1LW
tcdb:1.c.91.1.1;CSTB
tcdb:1.a.31.1.3;CSTB
tcdb:1.c.48.1.2;PRNP
tcdb:8.a.81.1.4;S100B
tcdb:1.c.110.1.1;TP53
tcdb:5.b.1.1.1;TP53
tcdb:2.a.31.1.2;TP53
tcdb:3.a.3.1.1;TP53
tcdb:3.a.3.1.1;ATP1B1
tcdb:1.c.50.1.2;APP
tcdb:2.a.29.1.1;SLC25A5
tcdb:9.b.87.1.8;ITGB1
tcdb:1.i.1.1.3;CDK1
tcdb:1.c.49.1.2;CDK1
tcdb:1.a.31.1.4;ANXA2
tcdb:1.c.39.3.1;C8A
