MOGAT1
AGPAT2
NME4
NME6
DGAT2
SPTLC3
ABHD5
GYS2
AGPAT5
GPAT3
MOGAT3
MBOAT2
GPAM
GPAT2
PPP1R3B
DGAT1
SPTLC1
NME3
LCLAT1
SPTLC2
NME1
NME1-NME2
GYS1
PGS1
MOGAT2
CRLS1
CMPK2
NME2
CDS2
AGPAT1
PPP1R3C
NME5
AGPAT3
KDSR
AGPAT4
NME7
MBOAT1
GPAT4
CDS1
